Distance (ft),Bmax,Bprod,Bx,By,Emax,Eprod,Ex,Ey
615.0,4.669,4.669,0.635,4.626,0.01,0.01,0.0,0.01
620.0,4.597,4.597,0.623,4.554,0.01,0.01,0.0,0.01
625.0,4.526,4.526,0.611,4.485,0.01,0.01,0.0,0.01
630.0,4.457,4.458,0.599,4.417,0.01,0.01,0.0,0.01
635.0,4.39,4.39,0.588,4.351,0.009,0.009,0.0,0.009
640.0,4.325,4.325,0.577,4.286,0.009,0.009,0.0,0.009
645.0,4.261,4.261,0.567,4.223,0.009,0.009,0.0,0.009
650.0,4.198,4.199,0.556,4.162,0.009,0.009,0.0,0.009
655.0,4.137,4.138,0.546,4.101,0.009,0.009,0.0,0.009
660.0,4.078,4.078,0.537,4.043,0.009,0.009,0.0,0.009
665.0,4.02,4.02,0.527,3.985,0.008,0.008,0.0,0.008
670.0,3.963,3.963,0.518,3.929,0.008,0.008,0.0,0.008
675.0,3.907,3.907,0.509,3.874,0.008,0.008,0.0,0.008
680.0,3.853,3.853,0.5,3.82,0.008,0.008,0.0,0.008
685.0,3.799,3.8,0.492,3.768,0.008,0.008,0.0,0.008
690.0,3.747,3.747,0.484,3.716,0.008,0.008,0.0,0.008
695.0,3.696,3.697,0.476,3.666,0.008,0.008,0.0,0.008
700.0,3.646,3.647,0.468,3.616,0.008,0.008,0.0,0.008
705.0,3.598,3.598,0.461,3.568,0.007,0.007,0.0,0.007
710.0,3.55,3.55,0.453,3.521,0.007,0.007,0.0,0.007
715.0,3.503,3.503,0.446,3.475,0.007,0.007,0.0,0.007
720.0,3.457,3.457,0.439,3.429,0.007,0.007,0.0,0.007
725.0,3.412,3.412,0.432,3.385,0.007,0.007,0.0,0.007
730.0,3.368,3.368,0.426,3.341,0.007,0.007,0.0,0.007
735.0,3.325,3.325,0.419,3.299,0.007,0.007,0.0,0.007
740.0,3.283,3.283,0.413,3.257,0.007,0.007,0.0,0.007
745.0,3.241,3.242,0.407,3.216,0.007,0.007,0.0,0.007
750.0,3.201,3.201,0.401,3.176,0.007,0.007,0.0,0.007
755.0,3.161,3.161,0.395,3.136,0.006,0.006,0.0,0.006
760.0,3.122,3.122,0.389,3.098,0.006,0.006,0.0,0.006
765.0,3.084,3.084,0.383,3.06,0.006,0.006,0.0,0.006
770.0,3.046,3.046,0.378,3.023,0.006,0.006,0.0,0.006
775.0,3.009,3.009,0.373,2.986,0.006,0.006,0.0,0.006
780.0,2.973,2.973,0.367,2.95,0.006,0.006,0.0,0.006
785.0,2.937,2.938,0.362,2.915,0.006,0.006,0.0,0.006
790.0,2.903,2.903,0.357,2.881,0.006,0.006,0.0,0.006
795.0,2.868,2.868,0.352,2.847,0.006,0.006,0.0,0.006
800.0,2.835,2.835,0.348,2.813,0.006,0.006,0.0,0.006
805.0,2.802,2.802,0.343,2.781,0.006,0.006,0.0,0.006
810.0,2.769,2.769,0.338,2.749,0.006,0.006,0.0,0.006
815.0,2.738,2.738,0.334,2.717,0.005,0.005,0.0,0.005
820.0,2.706,2.706,0.329,2.686,0.005,0.005,0.0,0.005
825.0,2.676,2.676,0.325,2.656,0.005,0.005,0.0,0.005
830.0,2.645,2.645,0.321,2.626,0.005,0.005,0.0,0.005
835.0,2.616,2.616,0.317,2.597,0.005,0.005,0.0,0.005
840.0,2.587,2.587,0.313,2.568,0.005,0.005,0.0,0.005
845.0,2.558,2.558,0.309,2.539,0.005,0.005,0.0,0.005
850.0,2.53,2.53,0.305,2.511,0.005,0.005,0.0,0.005
855.0,2.502,2.502,0.301,2.484,0.005,0.005,0.0,0.005
860.0,2.475,2.475,0.297,2.457,0.005,0.005,0.0,0.005
865.0,2.448,2.448,0.294,2.43,0.005,0.005,0.0,0.005
870.0,2.422,2.422,0.29,2.404,0.005,0.005,0.0,0.005
875.0,2.396,2.396,0.286,2.379,0.005,0.005,0.0,0.005
880.0,2.37,2.37,0.283,2.353,0.005,0.005,0.0,0.005
885.0,2.345,2.345,0.28,2.329,0.005,0.005,0.0,0.005
890.0,2.321,2.321,0.276,2.304,0.004,0.004,0.0,0.004
895.0,2.296,2.296,0.273,2.28,0.004,0.004,0.0,0.004
900.0,2.272,2.273,0.27,2.256,0.004,0.004,0.0,0.004
905.0,2.249,2.249,0.267,2.233,0.004,0.004,0.0,0.004
910.0,2.226,2.226,0.264,2.21,0.004,0.004,0.0,0.004
915.0,2.203,2.203,0.261,2.188,0.004,0.004,0.0,0.004
920.0,2.181,2.181,0.258,2.165,0.004,0.004,0.0,0.004
925.0,2.159,2.159,0.255,2.144,0.004,0.004,0.0,0.004
930.0,2.137,2.137,0.252,2.122,0.004,0.004,0.0,0.004
935.0,2.116,2.116,0.249,2.101,0.004,0.004,0.0,0.004
940.0,2.094,2.095,0.246,2.08,0.004,0.004,0.0,0.004
945.0,2.074,2.074,0.243,2.059,0.004,0.004,0.0,0.004
950.0,2.053,2.053,0.241,2.039,0.004,0.004,0.0,0.004
955.0,2.033,2.033,0.238,2.019,0.004,0.004,0.0,0.004
960.0,2.013,2.013,0.236,2.0,0.004,0.004,0.0,0.004
965.0,1.994,1.994,0.233,1.98,0.004,0.004,0.0,0.004
970.0,1.975,1.975,0.23,1.961,0.004,0.004,0.0,0.004
975.0,1.956,1.956,0.228,1.942,0.004,0.004,0.0,0.004
980.0,1.937,1.937,0.226,1.924,0.004,0.004,0.0,0.004
985.0,1.919,1.919,0.223,1.906,0.004,0.004,0.0,0.004
990.0,1.9,1.9,0.221,1.888,0.004,0.004,0.0,0.004
995.0,1.883,1.883,0.219,1.87,0.004,0.004,0.0,0.004
1000.0,1.865,1.865,0.216,1.852,0.004,0.004,0.0,0.004
1005.0,1.848,1.848,0.214,1.835,0.003,0.003,0.0,0.003
1010.0,1.83,1.83,0.212,1.818,0.003,0.003,0.0,0.003
1015.0,1.814,1.814,0.21,1.801,0.003,0.003,0.0,0.003
1020.0,1.797,1.797,0.208,1.785,0.003,0.003,0.0,0.003
1025.0,1.78,1.781,0.205,1.769,0.003,0.003,0.0,0.003
1030.0,1.764,1.764,0.203,1.753,0.003,0.003,0.0,0.003
1035.0,1.748,1.748,0.201,1.737,0.003,0.003,0.0,0.003
1040.0,1.733,1.733,0.199,1.721,0.003,0.003,0.0,0.003
1045.0,1.717,1.717,0.197,1.706,0.003,0.003,0.0,0.003
1050.0,1.702,1.702,0.196,1.69,0.003,0.003,0.0,0.003
1055.0,1.687,1.687,0.194,1.675,0.003,0.003,0.0,0.003
1060.0,1.672,1.672,0.192,1.661,0.003,0.003,0.0,0.003
1065.0,1.657,1.657,0.19,1.646,0.003,0.003,0.0,0.003
1070.0,1.642,1.643,0.188,1.632,0.003,0.003,0.0,0.003
1075.0,1.628,1.628,0.186,1.617,0.003,0.003,0.0,0.003
1080.0,1.614,1.614,0.184,1.603,0.003,0.003,0.0,0.003
1085.0,1.6,1.6,0.183,1.59,0.003,0.003,0.0,0.003
1090.0,1.586,1.586,0.181,1.576,0.003,0.003,0.0,0.003
1095.0,1.573,1.573,0.179,1.562,0.003,0.003,0.0,0.003
1100.0,1.559,1.559,0.178,1.549,0.003,0.003,0.0,0.003
1105.0,1.546,1.546,0.176,1.536,0.003,0.003,0.0,0.003
1110.0,1.533,1.533,0.174,1.523,0.003,0.003,0.0,0.003
1115.0,1.52,1.52,0.173,1.51,0.003,0.003,0.0,0.003
1120.0,1.507,1.507,0.171,1.498,0.003,0.003,0.0,0.003
1125.0,1.495,1.495,0.17,1.485,0.003,0.003,0.0,0.003
1130.0,1.482,1.482,0.168,1.473,0.003,0.003,0.0,0.003
1135.0,1.47,1.47,0.167,1.461,0.003,0.003,0.0,0.003
1140.0,1.458,1.458,0.165,1.449,0.003,0.003,0.0,0.003
1145.0,1.446,1.446,0.164,1.437,0.003,0.003,0.0,0.003
1150.0,1.434,1.434,0.162,1.425,0.003,0.003,0.0,0.003
1155.0,1.423,1.423,0.161,1.414,0.003,0.003,0.0,0.003
1160.0,1.411,1.411,0.159,1.402,0.003,0.003,0.0,0.003
1165.0,1.4,1.4,0.158,1.391,0.003,0.003,0.0,0.003
1170.0,1.388,1.389,0.157,1.38,0.003,0.003,0.0,0.003
1175.0,1.377,1.377,0.155,1.369,0.003,0.003,0.0,0.003
1180.0,1.366,1.366,0.154,1.358,0.002,0.002,0.0,0.002
1185.0,1.356,1.356,0.153,1.347,0.002,0.002,0.0,0.002
1190.0,1.345,1.345,0.151,1.336,0.002,0.002,0.0,0.002
1195.0,1.334,1.334,0.15,1.326,0.002,0.002,0.0,0.002
1200.0,1.324,1.324,0.149,1.315,0.002,0.002,0.0,0.002
1205.0,1.314,1.314,0.148,1.305,0.002,0.002,0.0,0.002
1210.0,1.303,1.303,0.146,1.295,0.002,0.002,0.0,0.002
1215.0,1.293,1.293,0.145,1.285,0.002,0.002,0.0,0.002
1220.0,1.283,1.283,0.144,1.275,0.002,0.002,0.0,0.002
1225.0,1.273,1.273,0.143,1.265,0.002,0.002,0.0,0.002
1230.0,1.264,1.264,0.142,1.256,0.002,0.002,0.0,0.002
1235.0,1.254,1.254,0.14,1.246,0.002,0.002,0.0,0.002
1240.0,1.245,1.245,0.139,1.237,0.002,0.002,0.0,0.002
1245.0,1.235,1.235,0.138,1.227,0.002,0.002,0.0,0.002
1250.0,1.226,1.226,0.137,1.218,0.002,0.002,0.0,0.002
1255.0,1.217,1.217,0.136,1.209,0.002,0.002,0.0,0.002
1260.0,1.208,1.208,0.135,1.2,0.002,0.002,0.0,0.002
1265.0,1.199,1.199,0.134,1.191,0.002,0.002,0.0,0.002
1270.0,1.19,1.19,0.133,1.182,0.002,0.002,0.0,0.002
1275.0,1.181,1.181,0.132,1.174,0.002,0.002,0.0,0.002
